Id,State,Rank
0,Mississippi,0.0
1,Alabama,0.14690394043944086
2,West Virginia,0.15053568185945176
3,Louisiana,0.17069184674051205
4,Kentucky,0.19447975304158366
5,Tennessee,0.22444161975667334
6,Oklahoma,0.2307971672416924
7,Arkansas,0.24750317777374262
8,Indiana,0.31160341383693485
9,Ohio,0.3355729072090068
10,Missouri,0.3651715997820955
11,South Carolina,0.3651715997820955
12,New Mexico,0.4107499546032323
13,Michigan,0.4194661340112584
14,Georgia,0.42963500998728893
15,Kansas,0.4657708371163973
16,South Dakota,0.49137461412747413
17,Pennsylvania,0.4951879426184856
18,District of Columbia,0.5019066642455059
19,Texas,0.5022698383875068
20,North Carolina,0.512620301434538
21,Nevada,0.5182495006355549
22,Illinois,0.5229707644815689
23,North Dakota,0.5264209188305794
24,Iowa,0.5267840929725803
25,Wyoming,0.5387688396586163
26,Montana,0.5434901035046306
27,Delaware,0.5498456509896497
28,New Jersey,0.5525694570546578
29,Wisconsin,0.5634646813146905
30,Maryland,0.5778100599237335
31,Nebraska,0.5838024332667514
32,Rhode Island,0.6030506627928092
33,Arizona,0.6144906482658435
34,New York,0.6203014345378609
35,Virginia,0.6281096785908844
36,Maine,0.6382785545669147
37,Idaho,0.6433629925549301
38,Connecticut,0.6711458144180135
39,Alaska,0.6724169239150173
40,Utah,0.6780461231160343
41,Massachusetts,0.693662611222081
42,Colorado,0.6982022879970945
43,Oregon,0.7218086072271653
44,Minnesota,0.7247140003631741
45,New Hampshire,0.7279825676411841
46,Vermont,0.7281641547121844
47,Florida,0.7317958961321953
48,Washington,0.7762847285273288
49,California,0.7869983657163611
50,Hawaii,1.0
