,Unnamed: 0,State,d/p
0,0,Alabama,0.7796155888910355
1,1,Alaska,0.7389308242686851
2,2,Arizona,0.6749537366544354
3,3,Arkansas,0.8302474911786611
4,4,California,0.8674494716022793
5,5,Colorado,0.7449139790600774
6,6,Connecticut,0.5032099581664047
7,7,Delaware,0.44437868659349766
8,8,District of Columbia,0.20926813678873504
9,9,Florida,0.6035370962031374
10,10,Georgia,0.8278386922976743
11,11,Hawaii,0.8314169463273567
12,12,Idaho,0.8059989662083973
13,13,Illinois,0.7012853519484383
14,14,Indiana,0.6019081318234768
15,15,Iowa,0.9112842286665661
16,16,Kansas,0.8934416959062957
17,17,Kentucky,0.3881337109832611
18,18,Louisiana,0.6431497938074966
19,19,Maine,0.5184045536974001
20,20,Maryland,0.34068111303397336
21,21,Massachusetts,0.3711724752620222
22,22,Michigan,0.5868193601306386
23,23,Minnesota,0.859906269430539
24,24,Mississippi,0.8693484049109595
25,25,Missouri,0.6139307562185661
26,26,Montana,0.8779930843721779
27,27,Nebraska,1.0
28,28,Nevada,0.6111352036280399
29,29,New Hampshire,0.2915690369957964
30,30,New Jersey,0.6023779478077863
31,31,New Mexico,0.5775959614472833
32,32,New York,0.7110275881676544
33,33,North Carolina,0.6907252424685635
34,34,North Dakota,0.9079014555194722
35,35,Ohio,0.2620991096504621
36,36,Oklahoma,0.6563332896285354
37,37,Oregon,0.8554487662882757
38,38,Pennsylvania,0.28781669891622685
39,39,Rhode Island,0.41486944699348904
40,40,South Carolina,0.7278639781572979
41,41,South Dakota,0.9599742280654382
42,42,Tennessee,0.5661598697377247
43,43,Texas,0.9078628587558861
44,44,United States,0.6808288030778722
45,45,Utah,0.6541802335428766
46,46,Vermont,0.6731959061229675
47,47,Virginia,0.752041008335404
48,48,Washington,0.7897205489424715
49,49,West Virginia,0.0
50,50,Wisconsin,0.7071971168003535
51,51,Wyoming,0.7471372001870802
