,State,Rank
,Washington,0.8979591836734694
,Hawaii,0.9591836734693877
,California,0.8163265306122449
,Rhode Island,0.6530612244897959
,Maine,0.6122448979591837
,Florida,0.6326530612244898
,New Hampshire,0.02040816326530612
,Vermont,0.9795918367346939
,Delaware,0.8571428571428571
,Oregon,0.7959183673469388
,Minnesota,0.8367346938775511
,Michigan,0.5102040816326531
,Massachusetts,0.8775510204081632
,Maryland,0.7142857142857143
,New York,1.0
,Nevada,0.6938775510204082
,Idaho,0.061224489795918366
,Wisconsin,0.4897959183673469
,Virginia,0.40816326530612246
,Tennessee,0.24489795918367346
,South Dakota,0.32653061224489793
,Connecticut,0.5714285714285714
,Missouri,0.5510204081632653
,Georgia,0.3673469387755102
,New Jersey,0.9387755102040817
,Pennsylvania,0.7346938775510204
,Iowa,0.3469387755102041
,Kentucky,0.5306122448979592
,North Carolina,0.3877551020408163
,Arkansas,0.14285714285714285
,Alabama,0.0
,Nebraska,0.20408163265306123
,South Carolina,0.04081632653061224
,West Virginia,0.30612244897959184
,Colorado,0.7755102040816326
,Texas,0.4489795918367347
,Ohio,0.46938775510204084
,Arizona,0.5918367346938775
,New Mexico,0.2857142857142857
,Montana,0.16326530612244897
,Wyoming,0.2653061224489796
,Mississippi,0.08163265306122448
,Utah,0.7551020408163265
,Kansas,0.12244897959183673
,Illinois,0.9183673469387755
,Indiana,0.1836734693877551
,North Dakota,0.42857142857142855
,Oklahoma,0.22448979591836735
,Alaska,0.673469387755102
,Louisiana,0.08163265306122448
