,State,Total Crashes
0,Alabama,101044
1,Arizona,170609
2,Arkansas,22780
3,California,1741433
4,Colorado,90885
5,Connecticut,71005
6,Delaware,14097
7,District of Columbia,18630
8,Florida,880192
9,Georgia,169234
10,Idaho,11376
11,Illinois,168958
12,Indiana,67224
13,Iowa,26307
14,Kansas,20992
15,Kentucky,32254
16,Louisiana,149701
17,Maine,2698
18,Maryland,140417
19,Massachusetts,61996
20,Michigan,162191
21,Minnesota,192084
22,Mississippi,15181
23,Missouri,77323
24,Montana,28496
25,Nebraska,28870
26,Nevada,21665
27,New Hampshire,10213
28,New Jersey,140719
29,New Mexico,10325
30,New York,347960
31,North Carolina,338199
32,North Dakota,3487
33,Ohio,118115
34,Oklahoma,83647
35,Oregon,179660
36,Pennsylvania,296620
37,Rhode Island,16971
38,South Carolina,382557
39,South Dakota,289
40,Tennessee,167388
41,Texas,582837
42,Utah,97079
43,Vermont,926
44,Virginia,303301
45,Washington,108221
46,West Virginia,13793
47,Wisconsin,34688
48,Wyoming,3757
